query_id,doc_id,relevance
query_61,doc_269,3
query_61,doc_41,2
query_61,doc_203,1
query_61,doc_446,2
query_62,doc_40,3
query_62,doc_262,1
query_63,doc_262,2
query_63,doc_100,3
query_63,doc_464,3
query_63,doc_398,1
query_63,doc_179,1
query_64,doc_75,2
query_65,doc_89,1
query_65,doc_309,3
query_66,doc_91,3
query_67,doc_238,3
query_67,doc_387,2
query_67,doc_289,3
query_67,doc_390,3
query_68,doc_166,1
query_68,doc_443,2
query_68,doc_498,1
query_68,doc_322,2
query_68,doc_162,2
query_69,doc_408,1
query_69,doc_141,2
query_69,doc_303,3
query_70,doc_159,2
query_71,doc_20,2
query_71,doc_30,1
query_71,doc_189,3
query_71,doc_426,1
query_72,doc_305,3
query_72,doc_260,3
query_72,doc_197,1
query_72,doc_237,2
query_72,doc_298,3
query_73,doc_165,2
query_73,doc_310,3
query_74,doc_491,2
query_74,doc_32,1
query_75,doc_366,3
query_75,doc_44,1
query_75,doc_259,1
query_76,doc_363,2
query_76,doc_225,3
query_77,doc_313,2
query_77,doc_82,2
query_77,doc_187,2
query_77,doc_191,2
query_77,doc_470,3
query_78,doc_27,1
query_78,doc_405,2
query_78,doc_324,1
query_78,doc_332,3
query_78,doc_172,3
query_79,doc_146,3
query_79,doc_130,3
query_79,doc_371,1
query_79,doc_437,2
query_80,doc_299,3
query_81,doc_470,2
query_81,doc_180,3
query_82,doc_67,1
query_82,doc_305,2
query_82,doc_363,3
query_82,doc_481,2
query_83,doc_417,3
query_83,doc_66,3
query_83,doc_344,3
query_84,doc_48,2
query_84,doc_331,1
query_84,doc_344,2
query_84,doc_217,2
query_84,doc_261,1
query_85,doc_175,2
query_85,doc_486,1
query_86,doc_71,1
query_86,doc_80,2
query_87,doc_260,3
query_88,doc_20,3
query_88,doc_339,1
query_88,doc_173,3
query_88,doc_449,2
query_88,doc_393,1
query_89,doc_93,3
query_89,doc_426,3
query_90,doc_370,1
query_90,doc_225,2
query_91,doc_347,2
query_91,doc_369,3
query_91,doc_122,2
query_92,doc_120,2
query_92,doc_274,1
query_92,doc_123,2
query_92,doc_159,3
query_93,doc_226,2
query_93,doc_237,3
query_93,doc_394,3
query_93,doc_145,2
query_93,doc_399,1
query_94,doc_411,1
query_94,doc_310,2
query_95,doc_329,2
query_96,doc_284,3
query_96,doc_479,3
query_96,doc_53,1
query_97,doc_43,2
query_97,doc_391,2
query_97,doc_83,3
query_98,doc_426,1
query_98,doc_224,1
query_99,doc_453,2
query_99,doc_179,1
query_99,doc_477,2
query_99,doc_14,3
query_100,doc_121,2
query_100,doc_198,1
query_100,doc_42,1
